Fund Holdings as of,"Mar 31, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"WDO","WESDOME GOLD MINES LTD","Materials","Equity","21,190,830.12","0.08","21,190,830.12","853,093.00","24.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NG","NOVAGOLD RESOURCES INC","Materials","Equity","20,566,867.30","0.08","20,566,867.30","1,641,410.00","12.53","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"EFX","ENERFLEX LTD","Energy","Equity","20,161,469.40","0.08","20,161,469.40","692,834.00","29.10","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"DIR.UN","DREAM INDUSTRIAL REAL ESTATE INVES","Real Estate","Equity","20,103,909.55","0.08","20,103,909.55","1,625,215.00","12.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TPZ","TOPAZ ENERGY CORP","Energy","Equity","20,045,837.96","0.08","20,045,837.96","648,313.00","30.92","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PBH","PREMIUM BRANDS HOLDINGS CORP","Consumer Staples","Equity","20,003,336.41","0.07","20,003,336.41","243,557.00","82.13","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SRU.UN","SMARTCENTRES RL ESTATE INVESTMENT","Real Estate","Equity","19,343,543.76","0.07","19,343,543.76","726,109.00","26.64","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NGEX","NGEX MINERALS LTD","Materials","Equity","19,322,849.70","0.07","19,322,849.70","763,749.00","25.30","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TFPM","TRIPLE FLAG PRECIOUS METALS CORP","Materials","Equity","19,313,189.70","0.07","19,313,189.70","399,859.00","48.30","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SEA","SEABRIDGE GOLD INC","Materials","Equity","19,130,449.05","0.07","19,130,449.05","484,929.00","39.45","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LNR","LINAMAR CORP","Consumer Discretionary","Equity","19,031,333.86","0.07","19,031,333.86","220,858.00","86.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SVM","SILVERCORP METALS INC","Materials","Equity","18,642,867.76","0.07","18,642,867.76","1,246,181.00","14.96","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TKO","TASEKO MINES LTD","Materials","Equity","18,500,872.71","0.07","18,500,872.71","2,053,371.00","9.01","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ATS","ATS CORP","Industrials","Equity","18,285,191.40","0.07","18,285,191.40","466,340.00","39.21","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BLX","BORALEX INC CLASS A","Utilities","Equity","18,193,335.52","0.07","18,193,335.52","496,543.00","36.64","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PPTA","PERPETUA RESOURCES CORP","Materials","Equity","17,518,832.80","0.07","17,518,832.80","446,909.00","39.20","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"EQB","EQB INC","Financials","Equity","16,825,230.48","0.06","16,825,230.48","150,926.00","111.48","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VET","VERMILION ENERGY INC","Energy","Equity","16,604,785.62","0.06","16,604,785.62","866,186.00","19.17","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BBUC","BROOKFIELD BUSINESS CORP CLASS A","Industrials","Equity","16,372,066.80","0.06","16,372,066.80","373,110.00","43.88","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VNP","5N PLUS INC","Materials","Equity","16,068,729.60","0.06","16,068,729.60","507,220.00","31.68","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HWX","HEADWATER EXPLORATION INC","Energy","Equity","16,054,815.70","0.06","16,054,815.70","1,249,402.00","12.85","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AYA","AYA GOLD & SILVER INC","Materials","Equity","15,821,441.02","0.06","15,821,441.02","745,591.00","21.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ARE","AECON GROUP INC","Industrials","Equity","15,254,796.60","0.06","15,254,796.60","364,860.00","41.81","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RUS","RUSSEL METALS INC","Industrials","Equity","14,875,056.00","0.06","14,875,056.00","309,897.00","48.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PXT","PAREX RESOURCES INC","Energy","Equity","14,793,154.54","0.06","14,793,154.54","541,081.00","27.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NWC","NORTH WEST COMPANY INC","Consumer Staples","Equity","14,684,001.99","0.06","14,684,001.99","269,283.00","54.53","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"HR.UN","HANDR REAL ESTATE INVESTMENT TRUST","Real Estate","Equity","14,600,366.16","0.05","14,600,366.16","1,494,408.00","9.77","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BEI.UN","BOARDWALK REAL ESTATE INVESTMENT T","Real Estate","Equity","14,336,107.10","0.05","14,336,107.10","227,738.00","62.95","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BB","BLACKBERRY LTD","Information Technology","Equity","13,962,441.35","0.05","13,962,441.35","3,095,885.00","4.51","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IPCO","INTERNATIONAL PETROLEUM CORP","Energy","Equity","13,958,415.52","0.05","13,958,415.52","372,026.00","37.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"FRU","FREEHOLD ROYALTIES LTD","Energy","Equity","13,510,177.56","0.05","13,510,177.56","777,788.00","17.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"POU","PARAMOUNT RESOURCE LTD CLASS A","Energy","Equity","13,016,961.14","0.05","13,016,961.14","438,134.00","29.71","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MFI","MAPLE LEAF FOODS INC","Consumer Staples","Equity","12,687,510.00","0.05","12,687,510.00","422,917.00","30.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BDT","BIRD CONSTRUCTION INC","Industrials","Equity","12,552,866.88","0.05","12,552,866.88","315,082.00","39.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SIA","SIENNA SENIOR LIVING INC","Health Care","Equity","12,245,131.75","0.05","12,245,131.75","565,595.00","21.65","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CCA","COGECO COMMUNICATIONS SUBORDINATE","Communication","Equity","12,135,716.40","0.05","12,135,716.40","171,894.00","70.60","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BDGI","BADGER INFRASTRUCTURE SOLUTIONS LT","Industrials","Equity","11,939,535.96","0.04","11,939,535.96","192,449.00","62.04","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"RCH","RICHELIEU HARDWARE LTD","Industrials","Equity","11,839,842.72","0.04","11,839,842.72","289,908.00","40.84","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BIR","BIRCHCLIFF ENERGY LTD","Energy","Equity","11,797,833.16","0.04","11,797,833.16","1,544,219.00","7.64","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TSU","TRISURA GROUP LTD","Financials","Equity","11,720,880.92","0.04","11,720,880.92","269,198.00","43.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PMZ.UN","PRIMARIS REAL ESTATE INVESTMENT UN","Real Estate","Equity","11,638,143.75","0.04","11,638,143.75","674,675.00","17.25","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ABRA","ABRASILVER RESOURCE CORP","Materials","Equity","11,446,513.25","0.04","11,446,513.25","909,175.00","12.59","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TVK","TERRAVEST INDUSTRIES INC","Energy","Equity","11,373,102.30","0.04","11,373,102.30","86,010.00","132.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BHC","BAUSCH HEALTH COMPANIES INC","Health Care","Equity","11,187,707.04","0.04","11,187,707.04","1,487,727.00","7.52","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KMP.UN","KILLAM APARTMENT REIT UNITS CLASS","Real Estate","Equity","11,001,991.00","0.04","11,001,991.00","689,780.00","15.95","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AIF","ALTUS GROUP LTD","Real Estate","Equity","10,981,115.25","0.04","10,981,115.25","229,971.00","47.75","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AAV","ADVANTAGE ENERGY LTD","Energy","Equity","10,672,295.74","0.04","10,672,295.74","950,338.00","11.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LIF","LABRADOR IRON ORE ROYALTY CORP","Materials","Equity","10,673,183.68","0.04","10,673,183.68","364,024.00","29.32","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IIP.UN","INTERRENT REAL ESTATE INVESTMENT T","Real Estate","Equity","10,565,607.78","0.04","10,565,607.78","796,803.00","13.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"NFI","NFI GROUP INC","Industrials","Equity","10,316,642.52","0.04","10,316,642.52","536,766.00","19.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SCR","STRATHCONA RESOURCES LTD","Energy","Equity","10,277,271.76","0.04","10,277,271.76","243,884.00","42.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LB","LAURENTIAN BANK OF CANADA","Financials","Equity","10,236,317.39","0.04","10,236,317.39","252,811.00","40.49","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"IAU","I GOLD CORP","Materials","Equity","9,963,877.87","0.04","9,963,877.87","4,722,217.00","2.11","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CRR.UN","CROMBIE REAL ESTATE INVESTMENT TRU","Real Estate","Equity","9,815,065.32","0.04","9,815,065.32","621,994.00","15.78","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VZLA","VIZSLA SILVER CORP","Materials","Equity","9,085,139.06","0.03","9,085,139.06","1,970,746.00","4.61","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"KEL","KELT EXPLORATION LTD","Energy","Equity","8,839,114.54","0.03","8,839,114.54","943,342.00","9.37","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"LSPD","LIGHTSPEED COMMERCE INC","Information Technology","Equity","8,772,849.72","0.03","8,772,849.72","705,213.00","12.44","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"AP.UN","ALLIED PROPERTIES REAL ESTATE INVT","Real Estate","Equity","8,752,570.02","0.03","8,752,570.02","953,439.00","9.18","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MTL","MULLEN GROUP LTD","Industrials","Equity","8,659,081.76","0.03","8,659,081.76","506,972.00","17.08","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"USA","AMERICAS GOLD AND SILVER","Materials","Equity","8,429,005.20","0.03","8,429,005.20","1,161,020.00","7.26","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PET","PET VALU HOLDINGS LTD","Consumer Discretionary","Equity","8,314,121.88","0.03","8,314,121.88","388,692.00","21.39","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"SPB","SUPERIOR PLUS CORP","Utilities","Equity","8,304,463.75","0.03","8,304,463.75","1,237,625.00","6.71","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CURA","CURALEAF HLDGS SUBORDINATE VOTING","Health Care","Equity","8,272,749.00","0.03","8,272,749.00","2,757,583.00","3.00","United States","Toronto Stock Exchange","CAD","1.00","CAD"
"LAC","LITHIUM AMERICAS CORP","Materials","Equity","8,223,143.18","0.03","8,223,143.18","1,487,006.00","5.53","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"BITF","BITFARMS LTD","Information Technology","Equity","8,057,332.92","0.03","8,057,332.92","2,951,404.00","2.73","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"ASM","AVINO SILVER AND GOLD MINES LTD","Materials","Equity","8,011,114.63","0.03","8,011,114.63","907,261.00","8.83","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"JWEL","JAMIESON WELLNESS INC","Consumer Staples","Equity","7,913,169.60","0.03","7,913,169.60","230,034.00","34.40","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CRT.UN","CT REIT UNITS TRUST","Real Estate","Equity","7,124,191.50","0.03","7,124,191.50","430,725.00","16.54","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"CJT","CARGOJET INC","Industrials","Equity","6,822,713.82","0.03","6,822,713.82","84,923.00","80.34","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"VITL.UN","VITAL INFRASTRUCTURE PROPERTY UNIT","Real Estate","Equity","6,652,472.64","0.02","6,652,472.64","1,259,938.00","5.28","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"WPK","WINPAK LTD","Materials","Equity","6,634,993.18","0.02","6,634,993.18","146,987.00","45.14","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"MLPFT","CASH COLLATERAL CAD MLPFT","Cash and/or Derivatives","Cash Collateral and Margins","3,115,000.00","0.01","3,115,000.00","3,115,000.00","100.00","Canada","-","CAD","1.00","CAD"
"GSY","GOEASY LTD","Financials","Equity","2,697,814.64","0.01","2,697,814.64","70,568.00","38.23","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"TCL.A","TRANSCONTINENTAL SUB VOTING INC CL","Materials","Equity","2,212,387.38","0.01","2,212,387.38","423,829.00","5.22","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"2299955D","CONSTELLATION SOFTWARE INC","Information Technology","Equity","0.61","0.00","0.61","60,915.00","0.00","Canada","Toronto Stock Exchange","CAD","1.00","CAD"
"PTM6","S&P/TSE 60 INDEX JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","76,693,560.00","201.00","1,907.80","-","The Montreal Exchange / Bourse De Montreal","CAD","1.00","CAD"
 
