iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 22, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,097,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GE","GE AEROSPACE","Industrials","Equity","3,710,965,926.64","0.47","3,710,965,926.64","13,431,416.00","276.29","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","3,699,893,224.81","0.47","3,699,893,224.81","49,576,487.00","74.63","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","3,590,684,916.08","0.46","3,590,684,916.08","3,840,962.00","934.84","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","3,588,094,179.54","0.46","3,588,094,179.54","31,783,986.00","112.89","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,268,324,887.60","0.42","3,268,324,887.60","19,934,888.00","163.95","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,191,200,231.56","0.41","3,191,200,231.56","39,602,882.00","80.58","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","3,109,741,590.40","0.40","3,109,741,590.40","17,189,440.00","180.91","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","3,040,714,598.58","0.39","3,040,714,598.58","1,678,043.00","1,812.06","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","3,014,759,414.66","0.38","3,014,759,414.66","11,969,981.00","251.86","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,957,497,193.84","0.38","2,957,497,193.84","5,979,332.00","494.62","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","2,943,501,809.55","0.38","2,943,501,809.55","15,406,971.00","191.05","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","2,903,121,291.40","0.37","2,903,121,291.40","22,378,180.00","129.73","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","2,746,322,509.14","0.35","2,746,322,509.14","11,621,694.00","236.31","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,736,459,558.28","0.35","2,736,459,558.28","9,119,404.00","300.07","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,691,503,857.77","0.34","2,691,503,857.77","17,501,163.00","153.79","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,483,018,902.98","0.32","2,483,018,902.98","54,002,151.00","45.98","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,472,837,446.90","0.32","2,472,837,446.90","4,811,155.00","513.98","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","2,400,215,580.00","0.31","2,400,215,580.00","26,669,062.00","90.00","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","2,386,690,261.02","0.30","2,386,690,261.02","6,257,381.00","381.42","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,385,358,814.40","0.30","2,385,358,814.40","6,895,695.00","345.92","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,377,922,201.76","0.30","2,377,922,201.76","22,685,768.00","104.82","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","2,350,179,064.03","0.30","2,350,179,064.03","13,223,311.00","177.73","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,331,769,286.23","0.30","2,331,769,286.23","15,741,371.00","148.13","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","2,329,054,234.62","0.30","2,329,054,234.62","89,647,969.00","25.98","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,326,000,074.72","0.30","2,326,000,074.72","10,057,074.00","231.28","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,283,004,897.00","0.29","2,283,004,897.00","6,857,930.00","332.90","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","2,277,336,557.60","0.29","2,277,336,557.60","11,998,612.00","189.80","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","2,253,600,285.30","0.29","2,253,600,285.30","14,220,990.00","158.47","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","2,199,070,436.48","0.28","2,199,070,436.48","4,547,104.00","483.62","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","2,111,433,998.10","0.27","2,111,433,998.10","15,887,389.00","132.90","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","2,058,265,733.66","0.26","2,058,265,733.66","4,973,218.00","413.87","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,041,950,565.90","0.26","2,041,950,565.90","22,267,727.00","91.70","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","1,991,965,771.08","0.25","1,991,965,771.08","26,355,726.00","75.58","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","1,963,016,384.59","0.25","1,963,016,384.59","1,847,597.00","1,062.47","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,961,662,318.11","0.25","1,961,662,318.11","21,389,841.00","91.71","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,951,299,022.00","0.25","1,951,299,022.00","72,809,665.00","26.80","United States","NYSE","USD","1.00","USD","-"
